"build_id","end_time","order_id","name","build_quantity","volume","sa","build_direction","finish_level_id","x","y","z"
52830,"2013-06-01 01:41:00-04",109076,"Paddle Funnel 01.STL",6,0.108521997928619,6.37251996994019,"Z_POS",3,1.56531000137329,1.56531000137329,0.901250004768372
52830,"2013-06-01 01:41:00-04",109076,"Paddle 521.STL",10,0.178213000297546,13.5150995254517,"Y_POS",3,3.5,2,0.169563993811607
52806,"2013-06-01 02:19:00-04",109917,"DROP TEST PUCK 05-23-13 [NANO TOOL] (REV C).STL",6,2.82896995544434,29.0638008117676,"Z_POS",3,4.61534976959229,2.86337995529175,0.262795001268387
52801,"2013-06-01 02:32:00-04",142253,"500-44.stl",9,0.0606778003275394,3.17236995697021,"Z_POS",3,0.334387004375458,0.469135999679565,1.77400004863739
52801,"2013-06-01 02:32:00-04",148238,"19ga needle x20.stl",1,0.463499009609222,16.025899887085,"Z_NEG",2,0.839995980262756,0.839999973773956,4.35069990158081
52801,"2013-06-01 02:32:00-04",148238,"720606A x20 24MAY13 Wire 12.STL",1,0.617425978183746,21.0018997192383,"Y_POS",2,5.29896020889282,1.06700003147125,0.560000002384186
52801,"2013-06-01 02:32:00-04",148238,"720609A x20 24MAY13.STL",1,0.669327020645142,24.31369972229,"X_POS",2,0.94190502166748,5.2414698600769,0.560000002384186
52801,"2013-06-01 02:32:00-04",148238,"Spring Sheath x20 22MAY13.stl",3,0.652444005012512,17.8654003143311,"Z_NEG",2,0.600015997886658,4.71999979019165,0.599968016147614
52801,"2013-06-01 02:32:00-04",148238,"720606A x20 24MAY13 Wire 14.STL",1,0.621535003185272,21.1707992553711,"Y_POS",2,5.29896020889282,1.06700003147125,0.560000002384186
52824,"2013-06-01 02:46:00-04",117209,"178580-Undercut for Molding.STL",6,0.00703950986214254,0.675227979405381,"Y_POS",2,0.337999994446912,0.337960983207493,0.277157004485438
52824,"2013-06-01 02:46:00-04",130263,"NT_003_02.STL",2,0.0409025978494584,0.968697995652987,"Y_POS",3,0.472440980730042,0.472355984507869,0.260235991145892
52824,"2013-06-01 02:46:00-04",130263,"NT_001_06.STL",4,0.0472828985308764,1.04722997380865,"Y_POS",3,0.492125980615601,0.492038004161234,0.270471986046408
52824,"2013-06-01 02:46:00-04",130263,"NT_002_02.STL",2,0.0457174980903798,1.08038994404981,"Y_POS",3,0.492125980615601,0.492038004161234,0.265354003497311
52824,"2013-06-01 02:46:00-04",135566,"Needle Gear.STL",24,0.00021614299229667,0.0342757989601586,"Z_POS",2,0.0999999999882668,0.0999999999882668,0.0320000010393266
52824,"2013-06-01 02:46:00-04",156183,"fly-array_set1.stl",1,0.239819992704316,13.9769998166843,"Z_POS",1,2.12597986843109,1.33857999221802,0.314960981645569
52824,"2013-06-01 02:46:00-04",156183,"fly-array_set2.stl",1,0.237699989695624,14.0155997834814,"Z_POS",1,2.12597986843109,1.33857999221802,0.314960981645569
52824,"2013-06-01 02:46:00-04",175170,"Agitator - Controlled path PT3.STL",3,0.00258003978541396,0.119452994454099,"Y_POS",3,0.158000004898845,0.150267002709952,0.171000001246535
52824,"2013-06-01 02:46:00-04",175170,"Agitator - Controlled path PT2.STL",3,0.00240551995451177,0.114551995234073,"Y_POS",3,0.147999999684612,0.140755993994112,0.171000001246535
52823,"2013-06-01 03:43:00-04",139268,"Cone, Don, Flat and Angled 2.STL",3,0.334880992583132,12.3698993782014,"Y_POS",3,1.99909993984042,1.31495998315045,2.13641997943458
52823,"2013-06-01 03:43:00-04",152271,"IBXA Case Right.STL",2,0.778344953754231,18.7523988813145,"Z_POS",2,3.36999983494676,1.91499993309261,0.679999996939982
52823,"2013-06-01 03:43:00-04",152271,"IBX Case Left.STL",2,0.593858990138692,14.8688998524553,"Z_POS",2,2.24999996620839,1.91499993309261,0.369999999211529
52823,"2013-06-01 03:43:00-04",152271,"IBX Case Right.STL",2,0.645595998286629,15.9561991667199,"Z_POS",2,2.24999996620839,1.91499993309261,0.679999996939982
52823,"2013-06-01 03:43:00-04",152271,"IBXA Case Left.STL",2,0.719907966602897,17.5510000679136,"Z_POS",2,3.36999983494676,1.91499993309261,0.369999999211529
52817,"2013-06-01 04:08:00-04",115978,"allpure_mycap_48mm_shroud_formed.STL",1,3.16626000404358,85.4060974121094,"Y_POS",3,4.24434995651245,4.24444007873535,3.25999999046326
52817,"2013-06-01 04:08:00-04",145623,"20-1003-001 Rear Grip, Sizer.STL",3,1.61343002319336,36.9305992126465,"X_POS",3,1.5,1.5,2.714359998703
52817,"2013-06-01 04:08:00-04",179353,"PT00105-01.STL",1,0.792743027210236,9.69075012207031,"Y_POS",3,0.5,1.39999997615814,1.89999997615814
52817,"2013-06-01 04:08:00-04",179353,"PT00106-01.STL",1,0.679473996162415,9.61013984680176,"Y_POS",3,0.5,1.39999997615814,1.89999997615814
52817,"2013-06-01 04:08:00-04",179353,"PT00108-01.STL",2,0.874201973628157,11.1664997561447,"Y_POS",3,1.59999999981227,2.40000005932305,0.449999981320749
52817,"2013-06-01 04:08:00-04",179353,"PT00104-01.STL",2,0.386993986813373,6.06258994012097,"Z_NEG",3,1.99999996996301,0.449999981320749,0.698999990455748
52817,"2013-06-01 04:08:00-04",179353,"PT00107-01.STL",1,1.17158997058868,14.8212003707886,"Y_POS",3,0.5,2.25,1.89999997615814
52798,"2013-06-01 04:36:00-04",173681,"1025_HEMOSTASIS HOUSING, SLEEVE_X04.STL",26,0.171511985084602,5.01465973096653,"Z_POS",3,0.721999992017671,1.23898993061862,1.84000000574457
